1,BBC: Top Stories,https://feeds.bbci.co.uk/news/rss.xml,3
2,BBC: World,https://feeds.bbci.co.uk/news/world/rss.xml,1
3,BBC: Business,https://feeds.bbci.co.uk/news/business/rss.xml,2
4,BBC: Politics,https://feeds.bbci.co.uk/news/politics/rss.xml,6
5,BBC: Health,https://feeds.bbci.co.uk/news/health/rss.xml,5
6,BBC: Technology,https://feeds.bbci.co.uk/news/technology/rss.xml,4
7,CNN: World,http://rss.cnn.com/rss/edition_world.rss,1
8,BBC: Science and Environment,https://feeds.bbci.co.uk/news/science_and_environment/rss.xml,7
9,BBC: UK,https://feeds.bbci.co.uk/news/uk/rss.xml,1
10,CNN: Top Stories,http://rss.cnn.com/rss/edition.rss,3
11,CNN: Africa,http://rss.cnn.com/rss/edition_africa.rss,1
12,CNN: Americas,http://rss.cnn.com/rss/edition_americas.rss,1
13,CNN: Asia,http://rss.cnn.com/rss/edition_asia.rss,1
14,CNN: Europe,http://rss.cnn.com/rss/edition_europe.rss,1
15,CNN: Money,http://rss.cnn.com/rss/money_news_international.rss,2
16,CNN: Technology,http://rss.cnn.com/rss/edition_technology.rss,4
17,CNN: Science and Space,http://rss.cnn.com/rss/edition_space.rss,7
18,CNN: World Sport,http://rss.cnn.com/rss/edition_sport.rss,8
19,CNN: Football,http://rss.cnn.com/rss/edition_football.rss,8
20,CNN: Golf,http://rss.cnn.com/rss/edition_golf.rss,8
21,CNN: Motorsports,http://rss.cnn.com/rss/edition_motorsport.rss,8
22,CNN: Tennis,http://rss.cnn.com/rss/edition_tennis.rss,8
